ver,曲名,BPM,notes,属性,詳細攻略
18,灼熱Beach Side Bunny(A),153,1719,連皿、トリル,ONE MORE EXTRA STAGE、SP皆伝(cop)、SP皆伝(HV)
23,灼熱Pt.2 Long Train Running(A),165,1804,連皿、BSS,
24,〆(A),160,1877,BSS、乱打、連皿、皿複合,攻城シノバズ伝
25,神謳 -RESONANCE-(A),180,2047,乱打、二重階段,
22,少年は空を辿る(A),140,1729,開幕発狂、縦連打、CN、BSS、軸、終盤発狂,BEMANI SUMMER DIARY 2015
26,最小三倍完全数(A),220,1314,高速、XX譜面,いちかのBEMANI投票選抜戦2019
20,即席！脳直★ミュージックシステム(A),197,1838,皿複合、乱打,ぼくらの宇宙戦争
22,それは花火のような恋(A),182,1976,乱打、皿複合,怪盗BisCoの予告状！！
28,水鏡の異界(A),168,1661,CN、連皿,
28,スーパー戦湯ババンバーン(A),187,1755,,BEMANI 2021真夏の歌合戦5番勝負
20,たまゆら(A),180,1407,同時押し、皿複合、終盤難,CS EMPRESS移植曲
19,天空の夜明け(A),150,2072,高密度乱打、縦連,Lincle Kingdom ONE MORE EXTRA STAGE、SP皆伝(tri)
23,真 地獄超特急 -HELL or HELL-(A),165,1727,HCN、連皿、皿複合,開通！とことこライン
21,轟け！恋のビーンボール！！(A),180,1834,階段、皿複合、縦連打,熱闘！BEMANIスタジアム
25,東京神話(A),196,1505,局所発狂,激走!キャノンレーサー
20,トリカゴノ鳳凰(A),185,1932,CN、微縦連、皿複合,Ω-ATTACK SECTOR A BOSS
24,津軽雪(A),160,1953,乱打、縦連、局所難,攻城シノバズ伝
28,∀(A),180,1802,ラス殺し,
28,伐折羅-vajra-(A),173,1877,,召しませ！BISTROVER North Americaエリア
27,華麗なる大犬円舞曲(A),60-147,1849,ソフラン,SHADOW REBELLION
17,"ワルツ第17番 ト短調""大犬のワルツ""(A)",230-320,1684,ソフラン、縦連、階段,PARALLEL ROTATION IIDX RED、SP十段(PEN)、SP十段(CS INFINITAS)
21,海神(A),159,1629,CN、皿複合,発見！よみがえったBEMANI遺跡
